title,mpaa_rating,budget,log_budget,opening_weekend,runtime,theaters,year
The Adventures of Tintin,PG,130000000,8.11,9720993,107,3087,2011
The Girl with the Dragon Tattoo,R,90000000,7.95,12768604,158,2914,2011
Somewhere,R,7000000,6.85,119086,97,7,2011
No Strings Attached,R,25000000,7.4,19652921,108,3018,2011
The Three Musketeers,PG-13,90000000,7.95,8674452,110,3017,2011
Johnny English Reborn,PG,45000000,7.65,3833300,101,1552,2011
The Mighty Macs,G,7000000,6.85,963221,99,975,2011
Paranormal Activity 3,R,5000000,6.7,52568183,83,3321,2011
We Need to Talk About Kevin,R,7000000,6.85,24587,112,1,2011
Water for Elephants,PG-13,38000000,7.58,16842353,120,2817,2011
Captain America: The First Avenger,PG-13,140000000,8.15,65058524,124,3715,2011
Friends with Benefits,R,35000000,7.54,18622150,109,2926,2011
My Week with Marilyn,R,10000000,7,1750507,99,244,2011
Hugo,PG,180000000,8.26,11364505,126,1277,2011
Arthur Christmas,PG,85000000,7.93,12068931,97,3376,2011
The Muppets,PG,45000000,7.65,29239026,103,3440,2011
Killer Elite,R,70000000,7.85,9352008,116,2986,2011
Moneyball,PG-13,50000000,7.7,19501302,133,2993,2011
Dolphin Tale,PG,37000000,7.57,19152401,113,3507,2011
Abduction,PG-13,35000000,7.54,10925253,106,3118,2011
Cars 2,G,200000000,8.3,66135507,106,4115,2011
Bad Teacher,R,19000000,7.28,31603106,92,3049,2011
Snow Flower and the Secret Fan,PG-13,6000000,6.78,134005,120,24,2011
War Horse,PG-13,70000000,7.85,7515402,146,2376,2011
The Darkest Hour,PG-13,34800000,7.54,4163241,89,2327,2011
Hall Pass,R,68000000,7.83,13535374,105,2950,2011
Drive Angry,R,50000000,7.7,5187625,104,2290,2011
Hesher,R,7000000,6.85,126046,106,42,2011
Sucker Punch,PG-13,75000000,7.88,19058199,110,3033,2011
Diary of a Wimpy Kid: Rodrick Rules,PG,18000000,7.26,23751502,99,3167,2011
The 5th Quarter,PG,6000000,6.78,202342,90,123,2011
There Be Dragons,PG-13,36000000,7.56,705537,122,259,2011
Colombiana,PG-13,40000000,7.6,10408176,108,2614,2011
Don't Be Afraid of the Dark,R,25000000,7.4,8525728,99,2760,2011
Our Idiot Brother,R,5000000,6.7,7011631,90,2555,2011
Kung Fu Panda 2,PG,150000000,8.18,47656302,91,3925,2011
The Hangover Part II,R,80000000,7.9,85946294,102,3615,2011
Melancholia,R,9400000,6.97,257174,130,19,2011
The Extra Man,R,7000000,6.85,18861,108,2,2011
127 Hours,R,18000000,7.26,264851,94,4,2011
Rabbit Hole,PG-13,5000000,6.7,53778,91,5,2011
The Mechanic,R,42500000,7.63,11422006,93,2703,2011
The Rite,PG-13,37000000,7.57,14789393,114,2985,2011
A Better Life,PG-13,10000000,7,62087,98,4,2011
Puss in Boots,PG,130000000,8.11,34077439,90,3952,2011
In Time,PG-13,35000000,7.54,12050368,109,3122,2011
Anonymous,PG-13,27500000,7.44,1021768,130,265,2011
Fast Five,PG-13,125000000,8.1,86198765,131,3644,2011
Dylan Dog: Dead of Night,PG-13,20000000,7.3,754779,107,875,2011
Prom,PG,8000000,6.9,4712638,104,2730,2011
The Smurfs,PG,110000000,8.04,35611637,103,3395,2011
Transformers: Dark of the Moon,PG-13,195000000,8.29,97852865,154,4088,2011
Dream House,PG-13,50000000,7.7,8129355,92,2661,2011
What's Your Number?,R,20000000,7.3,5421669,106,3002,2011
50/50,R,8000000,6.9,8644095,100,2458,2011
The Debt,R,20000000,7.3,9909499,113,1826,2011
Margaret,R,14000000,7.15,7525,150,2,2012
Snow White and the Huntsman,PG-13,170000000,8.23,56217700,127,3773,2012
For Greater Glory: The True Story of Cristiada,R,12000000,7.08,1885608,145,757,2012
Project X,R,12000000,7.08,21051363,88,3055,2012
Red Lights,R,17700000,7.25,10340,114,2,2012
Wreck-It Ralph,PG,165000000,8.22,49038712,101,3752,2012
Flight,R,31000000,7.49,24900566,138,1884,2012
Vamps,PG-13,16000000,7.2,548,92,1,2012
The Man with the Iron Fists,R,15000000,7.18,7910980,95,1868,2012
Diary of a Wimpy Kid: Dog Days,PG,22000000,7.34,14623599,94,3391,2012
Big Miracle,PG,40000000,7.6,7760205,107,2129,2012
The Woman in Black,PG-13,15000000,7.18,20874072,95,2855,2012
Chronicle,PG-13,12000000,7.08,22004098,84,2907,2012
The Amazing Spider-Man,PG-13,220000000,8.34,62004688,136,4318,2012
The Avengers,PG-13,225000000,8.35,207438708,143,4349,2012
Pitch Perfect,PG-13,17000000,7.23,5149433,112,335,2012
Taken 2,PG-13,45000000,7.65,49514769,92,3661,2012
Frankenweenie,PG,39000000,7.59,11412213,87,3005,2012
American Reunion,R,50000000,7.7,21514080,113,3192,2012
Tinker Tailor Soldier Spy,R,21000000,7.32,310562,127,4,2012
To Rome with Love,R,21500000,7.33,361359,112,5,2012
Savages,R,45000000,7.65,16016910,131,2628,2012
The Cold Light of Day,PG-13,20000000,7.3,1831588,93,1511,2012
The Words,PG-13,6000000,6.78,4750894,102,2801,2012
Anna Karenina,R,49000000,7.69,320690,129,16,2012
Hope Springs,PG-13,30000000,7.48,14650121,100,2361,2012
Madagascar 3: Europe's Most Wanted,PG,145000000,8.16,60316738,93,4258,2012
Prometheus,R,125000000,8.1,51050101,124,3396,2012
John Carter,PG-13,275000000,8.44,30180188,132,3749,2012
A Thousand Words,PG-13,40000000,7.6,6176280,91,1890,2012
Skyfall,PG-13,200000000,8.3,88364714,143,3505,2012
Deadfall,R,6000000,6.78,19391,95,11,2012
The Bourne Legacy,PG-13,125000000,8.1,38142825,135,3745,2012
The Campaign,R,95000000,7.98,26588460,85,3205,2012
Safe House,R,85000000,7.93,40172720,115,3119,2012
Journey 2: The Mysterious Island,PG,79000000,7.9,27335363,94,3470,2012
The Vow,PG-13,30000000,7.48,41202458,104,2958,2012
"Jeff, Who Lives at Home",R,10000000,7,855709,83,254,2012
Casa de mi Padre,R,6000000,6.78,2287239,84,382,2012
Dark Shadows,PG-13,150000000,8.18,29685274,113,3755,2012
The Perks of Being a Wallflower,PG-13,13000000,7.11,228359,102,4,2012
Argo,R,44500000,7.65,19458109,120,3232,2012
Here Comes the Boom,PG,42000000,7.62,11816596,105,3014,2012
Seven Psychopaths,R,13500000,7.13,4174915,110,1480,2012
The Cabin in the Woods,R,30000000,7.48,14743614,95,2811,2012
The Three Stooges,PG,30000000,7.48,17010125,92,3477,2012
Lockout,PG-13,20000000,7.3,6231836,95,2308,2012
The Iron Lady,PG-13,14000000,7.15,220409,105,4,2012
Shame,NC-17,6500000,6.81,349519,101,10,2012
Joyful Noise,PG-13,27500000,7.44,11225190,118,2735,2012
Contraband,R,25000000,7.4,24349815,109,2863,2012
Ice Age: Continental Drift,PG,95000000,7.98,46629259,88,3881,2012
Jab Tak Hai Jaan,NOT RATED,9200000,6.96,1283585,176,160,2012
The Hobbit: An Unexpected Journey,PG-13,250000000,8.4,84617303,169,4045,2012
Resident Evil: Retribution,R,65000000,7.81,21052227,96,3012,2012
Arbitrage,R,12000000,7.08,2002165,107,197,2012
The Odd Life of Timothy Green,PG,40000000,7.6,10822903,105,2598,2012
Rock of Ages,PG-13,70000000,7.85,14437269,123,3470,2012
That's My Boy,R,57500000,7.76,13453714,116,3030,2012
21 Jump Street,R,42000000,7.62,36302612,109,3121,2012
The Dictator,R,65000000,7.81,17435092,83,3008,2012
The Twilight Saga: Breaking Dawn - Part 2,PG-13,136200000,8.13,141067634,115,4070,2012
Lincoln,PG-13,65000000,7.81,944308,150,11,2012
The Expendables 2,R,100000000,8,28591370,103,3316,2012
ParaNorman,PG,60000000,7.78,14087050,92,3429,2012
Sparkle,PG-13,10000000,7,11643342,116,2244,2012
This Means War,PG-13,65000000,7.81,17405930,103,3189,2012
Ghost Rider: Spirit of Vengeance,PG-13,57000000,7.76,22115334,96,3174,2012
Battleship,PG-13,209000000,8.32,25534825,131,3690,2012
What to Expect When You're Expecting,PG-13,37500000,7.57,10547068,110,3021,2012
The Guilt Trip,PG-13,40000000,7.6,5290629,95,2431,2012
Alex Cross,PG-13,35000000,7.54,11396768,101,2539,2012
Paranormal Activity 4,R,5000000,6.7,29003866,88,3412,2012
The Lucky One,PG-13,25000000,7.4,22518358,101,3155,2012
Think Like a Man,PG-13,12000000,7.08,33636303,122,2015,2012
The Artist,PG-13,16000000,7.2,204878,100,4,2012
Underworld: Awakening,R,70000000,7.85,25306725,88,3078,2012
Red Tails,PG-13,58000000,7.76,18782154,125,2512,2012
Haywire,R,23000000,7.36,8425370,93,2439,2012
The Dark Knight Rises,PG-13,275000000,8.44,160887295,164,4404,2012
Amour,PG-13,9700000,6.99,68266,127,3,2012
Jack Reacher,PG-13,60000000,7.78,15210156,130,3352,2012
This Is 40,R,35000000,7.54,11579175,134,2913,2012
Cirque du Soleil: Worlds Away,PG,25000000,7.4,2282368,91,840,2012
Rise of the Guardians,PG,145000000,8.16,23773465,97,3653,2012
Life of Pi,PG,120000000,8.08,22451514,127,2927,2012
Red Dawn,PG-13,65000000,7.81,14276668,93,2725,2012
Trouble with the Curve,PG-13,60000000,7.78,12162040,111,3212,2012
Dredd,R,45000000,7.65,6278491,95,2506,2012
The Master,R,37500000,7.57,736311,144,5,2012
End of Watch,R,15000000,7.18,13152683,109,2730,2012
House at the End of the Street,PG-13,6900000,6.84,12287234,101,3083,2012
Hit and Run,R,22000000,7.34,4526222,100,2870,2012
Bernie,PG-13,6000000,6.78,85805,104,3,2012
Brave,PG,185000000,8.27,66323594,93,4164,2012
Abraham Lincoln: Vampire Hunter,R,67500000,7.83,16306974,105,3108,2012
Seeking a Friend for the End of the World,R,10000000,7,3822803,101,1625,2012
The Hunger Games,PG-13,80000000,7.9,152535747,142,4137,2012
On the Road,R,25000000,7.4,39550,124,4,2012
Premium Rush,PG-13,35000000,7.54,6030164,91,2255,2012
The Apparition,PG-13,17000000,7.23,2841488,82,810,2012
Wanderlust,R,32500000,7.51,6526650,98,2002,2012
Act of Valor,R,12000000,7.08,24476632,110,3039,2012
Darling Companion,PG-13,12000000,7.08,39962,103,4,2012
Silver Linings Playbook,R,21000000,7.32,443003,122,16,2012
Django Unchained,R,100000000,8,30122888,165,3010,2012
Parental Guidance,PG,25000000,7.4,14554053,105,3367,2012
Men in Black 3,PG-13,215000000,8.33,54592779,106,4248,2012
The Best Exotic Marigold Hotel,PG-13,10000000,7,737051,124,27,2012
Cloud Atlas,R,102000000,8.01,9612247,172,2008,2012
Chasing Mavericks,PG,20000000,7.3,2268274,116,2002,2012
Silent Hill: Revelation 3D,R,20000000,7.3,8023036,95,2933,2012
Fun Size,PG-13,14000000,7.15,4101017,86,3014,2012
The Pirates! Band of Misfits,PG,55000000,7.74,11137734,88,3358,2012
Safe,R,33000000,7.52,7892539,94,2266,2012
The Five-Year Engagement,R,30000000,7.48,10610060,124,2936,2012
The Raven,R,26000000,7.41,7289642,110,2203,2012
Man on a Ledge,PG-13,42000000,7.62,8001932,102,2998,2012
One for the Money,PG-13,42000000,7.62,11515790,91,2737,2012
The Grey,R,25000000,7.4,19665101,117,3185,2012
The Watch,R,55000000,7.74,12750297,102,3168,2012
Step Up Revolution,PG-13,33000000,7.52,11731708,99,2567,2012
Hotel Transylvania,PG,85000000,7.93,42522194,91,3349,2012
Looper,R,30000000,7.48,20801552,119,2992,2012
Won't Back Down,PG,19000000,7.28,2603370,121,2515,2012
Trade of Innocents,PG-13,5800000,6.76,588,88,1,2012
Lawless,R,26000000,7.41,10001982,116,2888,2012
The Oogieloves in the Big Balloon Adventure,G,20000000,7.3,443901,88,2160,2012
Moonrise Kingdom,PG-13,16000000,7.2,522996,94,4,2012
Ted,R,50000000,7.7,54415205,106,3239,2012
People Like Us,PG-13,16000000,7.2,4255423,114,2055,2012
Magic Mike,R,7000000,6.85,39127170,110,2930,2012
Killer Joe,R,10000000,7,37864,102,3,2012
Wrath of the Titans,PG-13,150000000,8.18,33457188,99,3545,2012
Mirror Mirror,PG,85000000,7.93,18132085,106,3603,2012
Killing Them Softly,R,15000000,7.18,6812900,97,2424,2012
The Collection,R,10000000,7,3104269,82,1403,2012
The Possession,PG-13,14000000,7.15,17732480,92,2816,2012
Bullet to the Head,R,55000000,7.74,4548201,92,2404,2013
Warm Bodies,PG-13,30000000,7.48,20353967,98,3009,2013
Quartet,PG-13,11000000,7.04,47122,98,2,2013
Jack the Giant Slayer,PG-13,195000000,8.29,27202226,114,3525,2013
Phantom,R,18000000,7.26,508000,98,1118,2013
Stoker,R,12000000,7.08,160547,99,7,2013
Last Vegas,PG-13,28000000,7.45,16334566,105,3065,2013
Ender's Game,PG-13,110000000,8.04,27017351,114,3407,2013
Free Birds,PG,55000000,7.74,15805237,91,3736,2013
2 Guns,R,61000000,7.79,27059130,109,3025,2013
The Iceman,R,10000000,7,87946,106,4,2013
The Lone Ranger,PG-13,275000000,8.44,29210849,149,3904,2013
Despicable Me 2,PG,76000000,7.88,84227980,98,3997,2013
Iron Man 3,PG-13,200000000,8.3,174144585,130,4253,2013
"Cinco de Mayo, La Batalla",R,10000000,7,83586,125,20,2013
The Impossible,PG-13,40000000,7.6,143818,114,15,2013
Promised Land,R,15000000,7.18,173915,106,25,2013
Texas Chainsaw 3D,R,20000000,7.3,21744470,92,2654,2013
Metallica Through the Never,R,18000000,7.26,1576561,93,305,2013
Gravity,PG-13,110000000,8.04,55785112,91,3575,2013
Runner Runner,R,30000000,7.48,7706712,88,3026,2013
Evil Dead,R,17000000,7.23,25775847,91,3025,2013
Out of the Furnace,R,22000000,7.34,5220288,116,2101,2013
Riddick,R,38000000,7.58,19030375,119,3107,2013
Winnie Mandela,R,15000000,7.18,61847,104,32,2013
Percy Jackson: Sea of Monsters,PG,90000000,7.95,14401054,106,3031,2013
We're the Millers,R,37000000,7.57,26419396,110,3260,2013
The Internship,PG-13,58000000,7.76,17325307,119,3366,2013
All Is Lost,PG-13,8500000,6.93,93583,106,6,2013
Identity Thief,R,35000000,7.54,34551025,111,3141,2013
Side Effects,R,30000000,7.48,9303145,106,2605,2013
Oz the Great and Powerful,PG,200000000,8.3,79110453,130,3912,2013
Dead Man Down,R,30000000,7.48,5345250,118,2188,2013
12 Years a Slave,R,20000000,7.3,923715,134,19,2013
Thor: The Dark World,PG-13,150000000,8.18,85737841,112,3841,2013
About Time,R,12000000,7.08,1076250,123,175,2013
Elysium,R,120000000,8.08,29807393,109,3284,2013
Mud,PG-13,10000000,7,2215460,130,363,2013
The Great Gatsby,PG-13,190000000,8.28,50085184,143,3535,2013
Peeples,PG-13,15000000,7.18,4611534,95,2041,2013
Zero Dark Thirty,R,52500000,7.72,417150,157,5,2013
Gangster Squad,R,60000000,7.78,17070347,113,3103,2013
Enough Said,PG-13,8000000,6.9,232800,93,4,2013
Captain Phillips,PG-13,55000000,7.74,25718314,134,3020,2013
Machete Kills,R,20000000,7.3,3837183,107,2538,2013
42,PG-13,40000000,7.6,27487144,128,3003,2013
Pacific Rim,PG-13,190000000,8.28,37285325,131,3275,2013
Grown Ups 2,PG-13,80000000,7.9,41508572,101,3491,2013
This Is the End,R,32000000,7.51,20719162,107,3055,2013
The Hobbit: The Desolation of Smaug,PG-13,250000000,8.4,73645197,161,3903,2013
Tyler Perry's A Madea Christmas,PG-13,25000000,7.4,16007634,100,2194,2013
The Family,R,30000000,7.48,14034764,111,3091,2013
Insidious: Chapter 2,PG-13,5000000,6.7,40272103,106,3049,2013
A Good Day to Die Hard,R,92000000,7.96,24834845,98,3553,2013
Beautiful Creatures,PG-13,50000000,7.7,7582595,124,2950,2013
Safe Haven,PG-13,28000000,7.45,21401594,115,3223,2013
Man of Steel,PG-13,225000000,8.35,116619362,143,4207,2013
Escape from Planet Earth,PG,40000000,7.6,15891055,89,3288,2013
The Incredible Burt Wonderstone,PG-13,32000000,7.51,10177257,100,3160,2013
The Call,R,12800000,7.11,17118745,94,2507,2013
The Best Man Holiday,R,17000000,7.23,30107555,123,2024,2013
The Christmas Candle,PG,7000000,6.85,68655,100,5,2013
Paranoia,PG-13,40000000,7.6,3528376,106,2459,2013
Lee Daniels' The Butler,PG-13,30000000,7.48,24637312,132,2933,2013
Kick-Ass 2,R,28000000,7.45,13332955,103,2940,2013
Jobs,PG-13,18000000,7.26,6713900,128,2381,2013
Star Trek Into Darkness,PG-13,190000000,8.28,70165559,132,3868,2013
Turbo,PG,135000000,8.13,21312625,96,3806,2013
Anchorman 2: The Legend Continues,PG-13,50000000,7.7,26232425,119,3507,2013
Broken City,R,35000000,7.54,8268908,109,2620,2013
The Last Stand,R,30000000,7.48,6281433,107,2913,2013
Mama,PG-13,15000000,7.18,28402310,100,2647,2013
Escape Plan,R,70000000,7.85,9885732,115,2883,2013
The Fifth Estate,R,26000000,7.41,1673351,128,1769,2013
The Place Beyond the Pines,R,15000000,7.18,279457,140,4,2013
Oblivion,PG-13,120000000,8.08,37054485,124,3783,2013
R.I.P.D.,PG-13,130000000,8.11,12691415,96,2852,2013
RED 2,PG-13,84000000,7.92,18048422,116,3016,2013
The Conjuring,R,20000000,7.3,41855326,112,2903,2013
The Last Days on Mars,R,10600000,7.03,4608,98,3,2013
American Hustle,R,40000000,7.6,740455,138,6,2013
Saving Mr. Banks,PG-13,35000000,7.54,413373,125,15,2013
Prisoners,R,46000000,7.66,20817053,153,3260,2013
Battle of the Year,PG-13,20000000,7.3,4603177,110,2008,2013
The Mortal Instruments: City of Bones,PG-13,60000000,7.78,9336957,130,3118,2013
Monsters University,G,200000000,8.3,82429469,104,4004,2013
World War Z,PG-13,190000000,8.28,66411834,116,3607,2013
Snitch,PG-13,15000000,7.18,13167607,112,2511,2013
The Croods,PG,135000000,8.13,43639736,98,4046,2013
Olympus Has Fallen,R,70000000,7.85,30373794,119,3098,2013
Admission,PG-13,13000000,7.11,6154984,107,2160,2013
Spring Breakers,R,5000000,6.7,263002,94,3,2013
The Hunger Games: Catching Fire,PG-13,130000000,8.11,158074286,146,4163,2013
Delivery Man,PG-13,22000000,7.34,7944977,105,3036,2013
Dallas Buyers Club,R,5000000,6.7,260865,117,9,2013
Blue Jasmine,PG-13,18000000,7.26,612064,98,6,2013
The World's End,R,20000000,7.3,8811790,109,1551,2013
Fast & Furious 6,PG-13,85000000,7.93,70950500,130,3461,2013
Epic,PG,100000000,8,33531068,102,3882,2013
Mandela: Long Walk to Freedom,PG-13,35000000,7.54,84283,141,4,2013
47 Ronin,PG-13,175000000,8.24,9910310,128,2689,2013
The Wolf of Wall Street,R,100000000,8,18361578,180,2537,2013
The Secret Life of Walter Mitty,PG,91000000,7.96,12765508,114,2909,2013
Grudge Match,PG-13,40000000,7.6,7021993,113,2838,2013
Hansel & Gretel: Witch Hunters,R,50000000,7.7,19690956,88,3372,2013
Parker,R,35000000,7.54,7008222,118,2224,2013
Movie 43,R,10000000,7,4805878,94,2023,2013
The Counselor,R,25000000,7.4,7842930,117,3044,2013
The Big Wedding,R,32500000,7.51,7591663,89,2633,2013
Pain & Gain,R,26000000,7.41,20244505,129,3277,2013
The Wolverine,PG-13,115000000,8.06,53113752,126,3924,2013
The Way Way Back,PG-13,5000000,6.7,552788,103,19,2013
Trance,R,16000000,7.2,131145,101,4,2013
Frozen,PG,150000000,8.18,243390,102,1,2013
Homefront,R,22000000,7.34,6915241,100,2570,2013
The Book Thief,PG-13,19000000,7.28,105005,131,4,2013
Black Nativity,PG,17500000,7.24,3669530,93,1516,2013
Philomena,PG-13,12000000,7.08,128435,98,4,2013
Cloudy with a Chance of Meatballs 2,PG,78000000,7.89,34017930,95,4001,2013
Rush,R,38000000,7.58,187289,123,5,2013
Baggage Claim,PG-13,8500000,6.93,9031102,96,2027,2013
Don Jon,R,5500000,6.74,8677009,90,2422,2013
White House Down,PG-13,150000000,8.18,24852258,131,3222,2013
The Heat,R,43000000,7.63,39115043,117,3181,2013
Redemption,R,23000000,7.36,19768,100,19,2013
G.I. Joe: Retaliation,PG-13,140000000,8.15,40501814,110,3719,2013
The Host,PG-13,50000000,7.7,10600112,125,3202,2013
Getaway,PG-13,18000000,7.26,4503892,90,2130,2013
Blood Ties,R,26000000,7.41,26912,127,28,2013
The Smurfs 2,PG,110000000,8.04,17548389,105,3866,2013
After Earth,PG-13,130000000,8.11,27520040,100,3401,2013
Now You See Me,PG-13,75000000,7.88,29350389,115,2925,2013
Yeh Jawaani Hai Deewani,NOT RATED,8300000,6.92,1568677,160,161,2013
A Most Wanted Man,R,15000000,7.18,2686526,122,361,2014
Guardians of the Galaxy,PG-13,170000000,8.23,94320883,121,4080,2014
Get on Up,PG-13,30000000,7.48,13585915,139,2468,2014
Deliver Us from Evil,R,30000000,7.48,9740471,118,3049,2014
Tammy,R,20000000,7.3,21577049,97,3465,2014
Earth to Echo,PG,13000000,7.11,8364199,91,3230,2014
The Amazing Spider-Man 2,PG-13,200000000,8.3,91608337,142,4324,2014
Paranormal Activity: The Marked Ones,R,5000000,6.7,18343611,84,2867,2014
Gone Girl,R,61000000,7.79,37513109,149,3014,2014
Left Behind,PG-13,16000000,7.2,6300146,110,1825,2014
Annabelle,R,6500000,6.81,37134255,99,3185,2014
Captain America: The Winter Soldier,PG-13,170000000,8.23,95023721,136,3938,2014
Edge of Tomorrow,PG-13,178000000,8.25,28760246,113,3490,2014
The Fault in Our Stars,PG-13,12000000,7.08,48002523,126,3173,2014
The Monuments Men,PG-13,70000000,7.85,22003433,118,3083,2014
The Lego Movie,PG,60000000,7.78,69050279,100,3775,2014
Mr. Peabody & Sherman,PG,145000000,8.16,32207057,92,3934,2014
300: Rise of an Empire,R,110000000,8.04,45038460,102,3470,2014
Interstellar,PG-13,165000000,8.22,47510360,169,3561,2014
Big Hero 6,PG,165000000,8.22,56215889,102,3761,2014
Teenage Mutant Ninja Turtles,PG-13,125000000,8.1,65575105,101,3845,2014
Into the Storm,PG-13,50000000,7.7,17346427,89,3434,2014
The Hundred-Foot Journey,PG,22000000,7.34,10979290,122,2023,2014
Neighbors,R,18000000,7.26,49033915,97,3279,2014
Kill the Messenger,R,5000000,6.7,941809,112,374,2014
Lone Survivor,R,40000000,7.6,90872,121,2,2014
August: Osage County,R,25000000,7.4,179302,121,5,2014
Her,R,23000000,7.36,260382,126,6,2014
Inside Llewyn Davis,R,11000000,7.04,405411,104,4,2014
The Legend of Hercules,PG-13,70000000,7.85,8868318,99,2104,2014
Dracula Untold,PG-13,70000000,7.85,23514615,92,2887,2014
The Judge,R,50000000,7.7,13116226,141,3003,2014
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,28000000,7.45,18360230,81,3088,2014
Addicted,R,5000000,6.7,7485346,106,846,2014
Rio 2,G,130000000,8.11,39327869,101,3948,2014
Draft Day,R,25000000,7.4,9783603,110,2781,2014
Oculus,R,5000000,6.7,12005402,104,2648,2014
Snowpiercer,R,40000000,7.6,171187,126,8,2014
Begin Again,R,8000000,6.9,134064,104,5,2014
Dawn of the Planet of the Apes,PG-13,170000000,8.23,72611427,130,3967,2014
Exodus: Gods and Kings,PG-13,140000000,8.15,24115934,150,3503,2014
Top Five,R,12000000,7.08,6896593,102,979,2014
RoboCop,PG-13,120000000,8.08,21681430,117,3372,2014
Dolphin Tale 2,PG,36000000,7.56,15873397,107,3656,2014
No Good Deed,PG-13,13200000,7.12,24250283,84,2175,2014
Atlas Shrugged: Who Is John Galt?,PG-13,5000000,6.7,461179,99,242,2014
How to Train Your Dragon 2,PG,145000000,8.16,49451322,102,4253,2014
22 Jump Street,R,50000000,7.7,57071445,112,3306,2014
Winter's Tale,PG-13,60000000,7.78,7297694,118,2965,2014
Endless Love,PG-13,20000000,7.3,13307125,104,2896,2014
About Last Night,R,13000000,7.11,25649011,100,2253,2014
Need for Speed,PG-13,66000000,7.82,17844939,132,3115,2014
Under the Skin,R,13300000,7.12,133154,108,4,2014
Birdman or (The Unexpected Virtue of Ignorance),R,18000000,7.26,424397,119,4,2014
Dumb and Dumber To,PG-13,40000000,7.6,36111775,109,3154,2014
Beyond the Lights,PG-13,7000000,6.85,6200284,116,1789,2014
The Expendables 3,PG-13,100000000,8,15879645,126,3221,2014
The Giver,PG-13,25000000,7.4,12305016,97,3003,2014
Heaven Is for Real,PG,12000000,7.08,22522221,99,2417,2014
Godzilla,PG-13,160000000,8.2,93188384,123,3952,2014
Million Dollar Arm,PG,25000000,7.4,10515659,124,3019,2014
The Hobbit: The Battle of the Five Armies,PG-13,250000000,8.4,54724334,144,3875,2014
Jack Ryan: Shadow Recruit,PG-13,60000000,7.78,15451981,105,3387,2014
The Nut Job,PG,30000000,7.48,19405000,85,3427,2014
Ride Along,PG-13,25000000,7.4,41516170,99,2663,2014
Devil's Due,R,7000000,6.85,8308220,89,2544,2014
Fury,R,80000000,7.9,23702421,134,3173,2014
The Book of Life,PG,50000000,7.7,17005218,95,3071,2014
The Best of Me,PG-13,26000000,7.41,10003827,118,2936,2014
Transcendence,PG-13,100000000,8,10886386,119,3455,2014
Sex Tape,R,40000000,7.6,14608152,94,3062,2014
The Purge: Anarchy,R,9000000,6.95,29816675,103,2806,2014
The Homesman,R,16000000,7.2,45433,122,4,2014
Night at the Museum: Secret of the Tomb,PG,127000000,8.1,17100520,98,3785,2014
Wild,R,15000000,7.18,606810,115,21,2014
United Passions,NOT RATED,30000000,7.48,918,110,10,2014
The Maze Runner,PG-13,34000000,7.53,32512804,113,3604,2014
A Walk Among the Tombstones,R,28000000,7.45,12758780,114,2712,2014
This Is Where I Leave You,R,20000000,7.3,11558149,103,2868,2014
Jersey Boys,R,40000000,7.6,13319371,134,2905,2014
Think Like a Man Too,PG-13,24000000,7.38,29241911,106,2225,2014
Pompeii,PG-13,80000000,7.9,10340823,105,2658,2014
3 Days to Kill,PG-13,28000000,7.45,12242218,117,2872,2014
Divergent,PG-13,85000000,7.93,54607747,139,3936,2014
Muppets Most Wanted,PG,55000000,7.74,17005126,107,3194,2014
The Hunger Games: Mockingjay - Part 1,PG-13,125000000,8.1,121897634,123,4151,2014
Sin City: A Dame to Kill For,R,65000000,7.81,6317683,102,2894,2014
When the Game Stands Tall,PG,15000000,7.18,8381509,115,2673,2014
If I Stay,PG-13,11000000,7.04,15679190,107,2907,2014
The Railway Man,R,18000000,7.26,18078,116,4,2014
X-Men: Days of Future Past,PG-13,200000000,8.3,90823660,132,3996,2014
Blended,PG-13,45000000,7.65,14284031,117,3555,2014
The Immigrant,R,16000000,7.2,44064,120,3,2014
Nebraska,R,12000000,7.08,140401,115,4,2014
"I, Frankenstein",PG-13,65000000,7.81,8610441,92,2753,2014
St. Vincent,PG-13,13000000,7.11,109878,102,4,2014
Ouija,PG-13,5000000,6.7,19875995,89,2858,2014
The Other Woman,PG-13,40000000,7.6,24763752,109,3205,2014
Brick Mansions,PG-13,28000000,7.45,9516855,90,2647,2014
The Imitation Game,PG-13,15000000,7.18,479352,114,4,2014
Unbroken,PG-13,65000000,7.81,30621445,137,3131,2014
Into the Woods,PG,50000000,7.7,31051923,125,2440,2014
Big Eyes,PG-13,10000000,7,3001738,106,1307,2014
Lucy,R,40000000,7.6,43899340,89,3173,2014
And So It Goes,PG-13,18000000,7.26,4642329,94,1762,2014
Wish I Was Here,R,6000000,6.78,484401,106,68,2014
The Water Diviner,R,22500000,7.35,1220335,111,320,2014
Penguins of Madagascar,PG,132000000,8.12,25447444,92,3764,2014
Horrible Bosses 2,R,40000000,7.6,15457418,108,3375,2014
The Theory of Everything,PG-13,15000000,7.18,208763,123,5,2014
The Boxtrolls,PG,60000000,7.78,17275239,96,3464,2014
The Equalizer,R,55000000,7.74,34137828,132,3236,2014
The November Man,R,15000000,7.18,7911597,108,2776,2014
Transformers: Age of Extinction,PG-13,210000000,8.32,100038390,165,4233,2014
Rosewater,R,10000000,7,1154303,103,371,2014
