title,mpaa_rating,budget,log_budget,opening_weekend,runtime,theaters,year
Control,R,6400000,6.81,27674,122,1,2007
The Namesake,PG-13,8500000,6.93,248552,122,6,2007
Grindhouse,R,53000000,7.72,11596613,191,2624,2007
Southland Tales,R,17000000,7.23,123428,145,63,2007
The Golden Compass,PG-13,205000000,8.31,25783232,113,3528,2007
Death at a Funeral,R,20000000,7.3,1282973,87,260,2007
3:10 to Yuma,R,48000000,7.68,14035033,122,2652,2007
The Brothers Solomon,R,10000000,7,508601,93,700,2007
Death at a Funeral,R,21000000,7.32,16217540,87,2459,2007
Daddy Day Camp,PG,6000000,6.78,3402678,93,2332,2007
Surf's Up,PG,100000000,8,17640249,85,3528,2007
Ocean's Thirteen,PG-13,85000000,7.93,36133403,122,3565,2007
Hostel: Part II,R,7500000,6.88,8203391,94,2350,2007
Copying Beethoven,PG-13,11000000,7.04,70460,104,26,2007
Rogue,R,23000000,7.36,7711,99,10,2007
Little Children,R,14000000,7.15,97953,136,5,2007
Hannibal Rising,R,50000000,7.7,13051650,121,3003,2007
Miss Potter,PG,30000000,7.48,9653,88,2,2007
300,R,60000000,7.78,70885301,117,3103,2007
The Ultimate Gift,PG,9000000,6.95,1241079,114,816,2007
Lions for Lambs,R,35000000,7.54,6702434,92,2215,2007
Rush Hour 3,PG-13,180000000,8.26,49100158,91,3778,2007
Stardust,PG-13,70000000,7.85,9169779,127,2540,2007
Becoming Jane,PG,16500000,7.22,972066,120,100,2007
Harry Potter and the Order of the Phoenix,PG-13,150000000,8.18,77108414,138,4285,2007
Georgia Rule,R,20000000,7.3,6773870,113,2523,2007
28 Weeks Later,R,15000000,7.18,9807292,100,2303,2007
The Warlords,R,40000000,7.6,10073,126,3,2007
Stomp the Yard,PG-13,14000000,7.15,21833312,109,2051,2007
Across the Universe,PG-13,45000000,7.65,667784,133,23,2007
Elizabeth: The Golden Age,PG-13,55000000,7.74,6153075,114,2001,2007
We Own the Night,R,28000000,7.45,10826287,117,2362,2007
Michael Clayton,R,21500000,7.33,719910,119,15,2007
Why Did I Get Married?,PG-13,15000000,7.18,21353789,113,2011,2007
Disturbia,PG-13,20000000,7.3,22224982,105,2925,2007
Slow Burn,R,15500000,7.19,778123,93,1163,2007
I Am Legend,PG-13,150000000,8.18,77211321,101,3606,2007
Alvin and the Chipmunks,PG,55000000,7.74,44307417,92,3475,2007
Music and Lyrics,PG-13,40000000,7.6,13623630,96,2955,2007
Dragon Wars: D-War,PG-13,32000000,7.51,5041239,90,2269,2007
Fantastic Four: Rise of the Silver Surfer,PG,120000000,8.08,58051684,92,3959,2007
DOA: Dead or Alive,PG-13,30000000,7.48,260713,87,505,2007
Venus,R,6000000,6.78,35604,95,3,2007
Ghost Rider,PG-13,120000000,8.08,45388836,114,3619,2007
Bridge to Terabithia,PG,25000000,7.4,22564612,96,3139,2007
Premonition,PG-13,20000000,7.3,17558689,96,2831,2007
I Think I Love My Wife,R,14000000,7.15,5674802,90,1776,2007
Fido,R,8000000,6.9,10203,93,2,2007
Beowulf,PG-13,150000000,8.18,27515871,115,3153,2007
Love in the Time of Cholera,R,45000000,7.65,1924860,139,852,2007
Redacted,R,5000000,6.7,25628,90,15,2007
The Invasion,PG-13,80000000,7.9,5951409,99,2776,2007
The Last Legion,PG-13,67000000,7.83,2746312,102,2002,2007
Superbad,R,17500000,7.24,33052411,113,2948,2007
Shrek the Third,PG,160000000,8.2,121629270,93,4122,2007
Trade,R,12000000,7.08,118086,120,90,2007
The Last King of Scotland,R,6000000,6.78,142899,123,4,2007
The Good German,R,32000000,7.51,76817,105,5,2007
The Painted Veil,PG-13,19400000,7.29,51085,125,4,2007
The Assassination of Jesse James by the Coward Robert Ford,R,30000000,7.48,147812,160,5,2007
Into the Wild,R,20000000,7.3,212440,148,4,2007
30 Days of Night,R,30000000,7.48,15951902,113,2855,2007
Rendition,R,27500000,7.44,4060012,122,2250,2007
Gone Baby Gone,R,19000000,7.28,5501406,114,1713,2007
Things We Lost in the Fire,R,16000000,7.2,1561949,118,1142,2007
The Hoax,R,25000000,7.4,1449320,116,235,2007
Hot Fuzz,R,16000000,7.2,5848464,121,825,2007
In the Land of Women,PG-13,10500000,7.02,4712341,97,2155,2007
Hairspray,PG,75000000,7.88,27476745,117,3121,2007
Charlie Wilson's War,R,75000000,7.88,9656250,102,2575,2007
Walk Hard: The Dewey Cox Story,R,35000000,7.54,4174383,96,2650,2007
P.S. I Love You,PG-13,30000000,7.48,6481221,126,2454,2007
St. Trinian's,PG-13,11400000,7.06,15000,97,76,2007
Enchanted,PG,85000000,7.93,34440317,107,3730,2007
No Country for Old Men,R,25000000,7.4,1226333,122,28,2007
August Rush,PG,25000000,7.4,9421369,114,2310,2007
Hitman,R,17500000,7.24,13180769,100,2458,2007
This Christmas,PG-13,13000000,7.11,17958183,117,1858,2007
The Mist,R,13000000,7.11,8931973,126,2423,2007
Eastern Promises,R,50000000,7.7,547092,100,15,2007
Resident Evil: Extinction,R,45000000,7.65,23678580,94,2828,2007
The Hunting Party,R,40000000,7.6,39609,101,4,2007
Good Luck Chuck,R,25000000,7.4,13652001,96,2612,2007
Sydney White,PG-13,16500000,7.22,5196380,108,2104,2007
Evan Almighty,PG,175000000,8.24,31192615,96,3604,2007
1408,PG-13,22500000,7.35,20617667,104,2678,2007
A Mighty Heart,R,15000000,7.18,3948863,108,1355,2007
The Number 23,R,32000000,7.51,14602867,101,2759,2007
